GEO,BDP
Austria,36140 
Belgium,34360 
Bulgaria,5790 
Cyprus,21020 
Czechia,16290 
Denmark,45630 
Estonia,23080 
Finland,34460 
France,31540 
Croatia,10630 
Hungary,11210 
Ireland,49510 
Iceland,35890 
Italy,25640 
Lithuania,11620 
Luxembourg,81300 
Latvia,10790 
Montenegro,5500 
Malta,19920 
Netherlands,39170 
Norway,67960 
Poland,10890 
Portugal,16620 
Romania,7290 
Serbia,4640 
Sweden,42580 
Slovenia,17990 
Slovakia,14270 
United Kingdom,31780 
Germany,34130
Greece,16870
Switzerland,60220
Spain,23080